setLocationMode, setLocationMode
mute, muted
setAirConditionerMode, setAirConditionerMode
stopStream, stopStream
pause, paused
setInputSource, setInputSource
playPreset, playPreset
fanAuto, auto
playTrack, playTrack
emergencyHeat, emergency heat
setColorValue, setColorValue
auto, auto
stop, stopped
cool, cool
execute, execute
setMute, setMute
setCompletionTime, setCompletionTime
resumeTrack, resumeTrack
refresh, refresh
nextTrack, nextTrack
fanOn, on
setRobotCleanerCleaningMode, setRobotCleanerCleaningMode
unlock, unlocked
channelDown, channelDown
overrideDrlcAction, overrideDrlcAction
setThermostatFanMode, setThermostatFanMode
poll, poll
setHue, setHue
setSaturation, setSaturation
captureClip, captureClip
setPlaybackStatus, setPlaybackStatus
setThermostatMode, setThermostatMode
setColorTemperature, setColorTemperature
setRefrigerationSetpoint, setRefrigerationSetpoint
both, both
setColor, setColor
previousTrack, previousTrack
playTrackAndRestore, playTrackAndRestore
setRobotCleanerTurboMode, setRobotCleanerTurboMode
selectPreset, selectPreset
cancel, canceled
fanCirculate, circulate
open, open
speak, speak
setSchedule, setSchedule
setTrack, setTrack
start, running
setPlaybackShuffle, setPlaybackShuffle
setDryerMode, setDryerMode
beep, beep
indicatorNever, never
setFanSpeed, setFanSpeed
volumeUp, volumeUp
setVolume, setVolume
channelUp, channelUp
configure, configure
on, on
setOvenSetpoint, setOvenSetpoint
heat, heat
requestDrlcAction, requestDrlcAction
volumeDown, volumeDown
indicatorWhenOff, when off
unmute, unmuted
setInfraredLevel, setInfraredLevel
deviceNotification, deviceNotification
restoreTrack, restoreTrack
setDishwasherMode, setDishwasherMode
lock, locked
setRapidCooling, setRapidCooling
playTrackAndResume, playTrackAndResume
close, closed
setMachineState, setMachineState
setPlaybackRepeatMode, setPlaybackRepeatMode
startActivity, startActivity
setCoolingSetpoint, setCoolingSetpoint
setOvenMode, setOvenMode
take, take
indicatorWhenOn, when on
play, play
startStream, startStream
setLevel, set_level
siren, siren
setTvChannel, setTvChannel
setConsumableStatus, setConsumableStatus
setHeatingSetpoint, setHeatingSetpoint
off, off
setRobotCleanerMovement, setRobotCleanerMovement
strobe, strobe
push, push
sendSms, sending_sms
sendSmsMessage, sending_sms
sendNotificationEvent, sending_notification
sendNotification, sending_notification
sendNotificationToContacts, sending_notification
sendPush, sending_notification
sendPushMessage, sending_notification
httpDelete, http_request
httpGet, http_request
httpHead, http_request
httpPost, http_request
httpPostJson, http_request
httpPut, http_request
httpPutJson, http_request
